Data,Ano,Mes,Dia,Mes_Nome,Mes_Nome_Completo,Ano_Mes,Ano_Mes_Label,Dia_Semana,Dia_Semana_Abrev,Dia_Semana_Num,Semana_ISO,Semana_Inicio,Semana_Label,Loja,Canal,Valor
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,DELIVERY,584.8
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,LAPA,CASA,1411.37
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,LAPA,DELIVERY,324.9
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,PAVÃO,CASA,2937.07
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,PAVÃO,DELIVERY,1765.88
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,PERDIZES,CASA,6184.83
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,PERDIZES,DELIVERY,3511.4
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,SANTANA,CASA,6090.32
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,SANTANA,DELIVERY,1120.8
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,SANTO ANDRÉ,CASA,7596.83
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,SANTO ANDRÉ,DELIVERY,228.3
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,TATUAPÉ,CASA,17159.28
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,TATUAPÉ,DELIVERY,932.52
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,VILA MADALENA,CASA,5005.33
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,VILA MARIANA,CASA,11707.62
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,VILA MARIANA,DELIVERY,1106.5
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,CARINAS,CASA,18580.22
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,CARINAS,DELIVERY,860.7
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,CASA,9822.14
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,DELIVERY,230.1
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,LAPA,CASA,7580.07
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,LAPA,DELIVERY,334.4
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,PAVÃO,CASA,26166.61
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,PAVÃO,DELIVERY,868.55
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,PERDIZES,CASA,23544.62
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,PERDIZES,DELIVERY,1208.1
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,SANTANA,CASA,7296.71
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,SANTANA,DELIVERY,189.6
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,SANTO ANDRÉ,CASA,5119.47
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,SANTO ANDRÉ,DELIVERY,404.3
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,TATUAPÉ,CASA,16807.65
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,TATUAPÉ,DELIVERY,851.44
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,VILA MADALENA,CASA,35013.04
